Date,Open,High,Low,Close,Adj Close,Volume
12/31/1985,9.125,9.25,9.0625,9.125,1.371067,3067600
1/2/1986,9.15625,9.1875,8.90625,9,1.352285,1694000
1/3/1986,9,9.09375,8.96875,9.0625,1.361677,1395200
1/6/1986,9.0625,9.21875,9.03125,9.15625,1.375763,2134000
1/7/1986,9.1875,9.4375,9.1875,9.40625,1.413326,3030400
1/8/1986,9.40625,9.4375,9.15625,9.25,1.389849,4520000
1/9/1986,9.125,9.25,8.9375,9.125,1.371067,3752800
1/10/1986,9.15625,9.28125,9.125,9.1875,1.380458,2387200
1/13/1986,9.1875,9.21875,8.8125,8.8125,1.324113,4276000
1/14/1986,8.84375,8.875,8.71875,8.84375,1.328809,3394000
1/15/1986,8.78125,8.875,8.75,8.84375,1.328809,1857200
1/16/1986,8.8125,8.84375,8.65625,8.71875,1.310027,2398400
1/17/1986,8.5625,8.71875,8.46875,8.53125,1.281854,5184000
1/20/1986,8.5,8.65625,8.4375,8.625,1.29594,3036800
1/21/1986,8.5,8.53125,8.28125,8.375,1.258376,3547600
1/22/1986,8.1875,8.25,8.125,8.15625,1.225509,6228000
1/23/1986,8.09375,8.1875,7.9375,8.125,1.220813,3776000
1/24/1986,8.125,8.21875,8.03125,8.15625,1.225509,3938000
1/27/1986,8.03125,8.125,7.96875,8.03125,1.206727,2153200
1/28/1986,8,8.09375,7.9375,8.0625,1.211423,3781600
1/29/1986,8,8.0625,7.875,7.9375,1.192641,4240000
1/30/1986,7.875,8.09375,7.875,8,1.202031,4040000
1/31/1986,7.9375,8.4375,7.9375,8.34375,1.253681,4240000
2/3/1986,8.34375,8.5,7.90625,8.0625,1.211423,5160000
2/4/1986,8.03125,8.0625,7.71875,7.71875,1.159772,4400000
2/5/1986,7.78125,7.90625,7.71875,7.875,1.18325,3514800
2/6/1986,7.90625,7.96875,7.78125,7.96875,1.197336,2815200
2/7/1986,7.9375,8.125,7.84375,7.96875,1.197336,3011600
2/10/1986,7.96875,8.09375,7.9375,8.03125,1.206727,3016800
2/11/1986,8,8,7.75,7.78125,1.169163,4720000
2/12/1986,7.8125,7.875,7.75,7.8125,1.173859,3103600
2/13/1986,7.75,7.8125,7.5,7.59375,1.140991,5720000
2/14/1986,7.5625,7.59375,7.375,7.5,1.126904,5480000
2/18/1986,7.40625,7.5,7.3125,7.46875,1.12221,4120000
2/19/1986,7.40625,7.46875,7.3125,7.3125,1.098732,3474000
2/20/1986,7.3125,7.5625,7.25,7.5625,1.136295,3800000
2/21/1986,7.53125,7.65625,7.4375,7.4375,1.117513,4400000
2/24/1986,7.46875,7.59375,7.40625,7.5625,1.136295,4000000
2/25/1986,7.625,7.71875,7.625,7.6875,1.155078,3627200
2/26/1986,7.625,7.6875,7.53125,7.625,1.145686,2893200
2/27/1986,7.625,7.6875,7.5625,7.625,1.145686,2911200
2/28/1986,7.6875,7.71875,7.40625,7.5,1.126904,3694400
3/3/1986,7.53125,7.53125,7.40625,7.46875,1.12221,2892000
3/4/1986,7.40625,7.46875,7.375,7.40625,1.112818,1746800
3/5/1986,7.375,7.46875,7.28125,7.46875,1.12221,4000000
3/6/1986,7.4375,7.46875,7.375,7.4375,1.117513,2996800
3/7/1986,7.375,7.46875,7.25,7.28125,1.094036,3461600
3/10/1986,7.28125,7.46875,7.28125,7.4375,1.117513,2044000
3/11/1986,7.875,7.9375,7.40625,7.875,1.232983,4680000
3/12/1986,7.9375,8.03125,7.75,7.8125,1.223198,3517200
3/13/1986,7.78125,7.84375,7.625,7.6875,1.203628,2560800
3/14/1986,7.75,7.875,7.65625,7.8125,1.223198,2838000
3/17/1986,7.71875,7.875,7.6875,7.875,1.232983,2421200
3/18/1986,7.8125,8,7.78125,7.8125,1.223198,2009600
3/19/1986,7.84375,7.96875,7.8125,7.9375,1.242769,1872400
3/20/1986,7.96875,8,7.875,7.96875,1.247662,1850400
3/21/1986,7.96875,8,7.59375,7.75,1.213413,3544000
3/24/1986,7.78125,7.8125,7.71875,7.75,1.213413,1800000
3/25/1986,7.78125,7.875,7.75,7.78125,1.218305,1248000
3/26/1986,7.8125,7.96875,7.8125,7.9375,1.242769,1531200
3/27/1986,8,8.125,7.96875,8.03125,1.257448,2491600
3/31/1986,8.03125,8.0625,7.90625,7.9375,1.242769,1340000
4/1/1986,7.96875,8,7.8125,7.84375,1.228091,3200800
4/2/1986,7.90625,8.03125,7.84375,7.875,1.232983,1599600
4/3/1986,7.9375,8.03125,7.8125,7.90625,1.237876,1692000
4/4/1986,7.9375,8,7.875,7.875,1.232983,2016800
4/7/1986,7.90625,8,7.78125,7.875,1.232983,2519600
4/8/1986,7.9375,7.96875,7.78125,7.96875,1.247662,1934800
4/9/1986,8,8.03125,7.8125,7.875,1.232983,1186400
4/10/1986,7.84375,8.03125,7.8125,7.9375,1.242769,1524000
4/11/1986,7.96875,8.03125,7.84375,7.875,1.232983,1997200
4/14/1986,7.90625,7.9375,7.8125,7.8125,1.223198,1626800
4/15/1986,7.9375,7.9375,7.75,7.75,1.213413,2572400
4/16/1986,7.8125,7.8125,7.65625,7.65625,1.198734,1639200
4/17/1986,7.71875,7.75,7.5,7.59375,1.188949,3116800
4/18/1986,7.53125,7.59375,7.40625,7.5,1.174271,3335600
4/21/1986,7.46875,7.71875,7.46875,7.6875,1.203628,1958000
4/22/1986,7.65625,7.6875,7.46875,7.5,1.174271,2586400
4/23/1986,7.5,7.5625,7.46875,7.53125,1.179163,1457200
4/24/1986,7.5,7.65625,7.5,7.59375,1.188949,2077200
4/25/1986,7.65625,7.6875,7.53125,7.59375,1.188949,1700000
